boovitha,b01030,buːvˈɪθə
boppudi,b01030,bəpjˈuːdi
boreddy,b06030,bˈɔːɹɛdi
borelli,b06040,bɔːɹˈɛlɪ
boris,b0602,bˈɒɹɪs
borna,b0650,bˈɔːnə
boru,b060,bˈɔːɹuː
boshika,b02020,bˈɒʃɪkə
bosky,b020,bˈɒski
bothidarman,b030306505,bˈə͡ʊθɪdˌɑːmən
botsa,b0320,bˈɒtsə
botta,b030,bˈɒtə
botu,b030,bˈɒtuː
boudhayan,b0305,bˈuːdhe͡ɪən
boudik,b0302,bˈuːdɪk
bourshetty,b062030,bˈɜːʃɪti
bousseh,b020,bˈa͡ʊse͡ɪ
bowen,b050,bˈə͡ʊɪn
bowshiga,b02020,bˈə͡ʊʃɪɡə
bowya,b000,bˈə͡ʊɪə
boya,b000,bˈɔ͡ɪə
boyapally,b01040,bˈɔ͡ɪɐpə͡li
boyapati,b01030,bˌɔ͡ɪɐpˈɑːti
boyatalari,b0304060,bˌɔ͡ɪɐtɐlˈɑːɹi
bozza,b020,bˈɒzə
braahmi,b6050,bɹˈɑːhmi
brabalini,b60104050,bɹˌabɐlˈiːnɪ
braden,b60305,bɹˈadən
bradley,b60340,bɹˈadli
bragadeesh,b60203020,bɹˈaɡɐdˌiːʃ
bragadesh,b60203020,bɹˈaɡe͡ɪdəʃ
bragannayagi,b60205020,bɹˌaɡɐne͡ɪˈɑːɡɪ
bragatha,b602030,bɹaɡˈaθə
bragathi,b602030,bɹaɡˈaθɪ
bragin,b60205,bɹˈad͡ʒɪn
brahamdutt,b605303,bɹˈahamdˌʌt
brahamjeet,b605203,bɹˈahɐmd͡ʒˌiːt
brahasan,b60205,bɹˈahasən
brahatshan,b603205,bɹˈahatʃən
brahm,b605,bɹˈɑːm
brahma,b6050,bɹˈɑːmə
brahmaanand,b60505053,bɹˈɑːmɑːnˌand
brahmabrata,b605016030,bɹˌɑːmɐbɹˈɑːtə
brahmabratha,b605016030,bɹˌɑːmɐbɹˈaθə
brahmadevara,b6050301060,bɹˌɑːme͡ɪdvˈɑːɹə
brahmadhvaja,b6050301020,bɹˌɑːmɐdvˈɑːd͡ʒə
brahmadutt,b6050303,bɹˈɑːmɐdˌʌt
brahmajetas,b605020302,bɹˈɑːmɐd͡ʒˌɛtəz
brahmaji,b605020,bɹˈɑːmad͡ʒi
brahmananda,b605050530,bɹˌɑːmɐnˈandə
brahmanandam,b6050505305,bɹˈɑːmɐnˌandəm
brahmani,b605050,bɹɑːmˈɑːni
brahmanush,b60505020,bɹˈɑːmɐnjˌuːʃ
brahmaputhra,b6050103060,bɹˈɑːmɐpˌʌθɹə
brahmarayan,b6050605,bɹˈɑːmɐɹˌe͡ɪən
brahmattmika,b605035020,bɹˈɑːmɐtmˌɪkə
brahmavaadini,b6050103050,bɹˌɑːmɐvɑːdˈiːnɪ
brahmavathi,b60501030,bɹˌɑːmɐvˈaθɪ
brahmdev,b605301,bɹˈɑːmdɛv
brahmi,b6050,bɹˈɑːmi
brahmjot,b605203,bɹˈɑːmd͡ʒɒt
brahmleen,b605405,bɹˈɑːmliːn
brahmvir,b605106,bɹˈɑːmvi͡ə
braj,b602,bɹˈad͡ʒ
brajamohan,b6020505,bɹˈad͡ʒɐmˌə͡ʊhan
brajbihari,b6021060,bɹˌad͡ʒbɪhˈɑːɹi
brajendra,b60205360,bɹˈe͡ɪd͡ʒəndɹə
brajesh,b602020,bɹˈe͡ɪd͡ʒəʃ
brajmohan,b602505,bɹˈad͡ʒmə͡ʊhˌan
brajraaj,b602602,bɹˈad͡ʒɹɑːd͡ʒ
brajraj,b602602,bɹˈad͡ʒɹad͡ʒ
brakalathan,b602040305,bɹˈakɐləθən
brama,b6050,bɹˈɑːmə
braman,b60505,bɹˈamən
bramarubini,b6050601050,bɹˌamɑːɹuːbˈiːnɪ
bramasakthi,b605020230,bɹˌamɐsˈakθɪ
bramathmika,b6050305020,bɹˈamɐθmˌɪkə
bramha,b6050,bɹˈamhə
bramhaghosh,b60502020,bɹˈamhɐɡhˌɒʃ
bramhanand,b60505053,bɹˈamhɐnˌand
bramhi,b6050,bɹˈamha͡ɪ
bramika,b605020,bɹˈamɪkə
bramila,b605040,bɹamˈɪlə
bramilan,b6050405,bɹˈamɪlˌan
bramina,b605050,bɹˈamɪnə
bramiya,b6050,bɹˈamɪjə
bramma,b6050,bɹˈamə
brammarishi,b60506020,bɹˌaməɹˈiːʃi
brammi,b6050,bɹˈami
brammiya,b6050,bɹˈamɪjə
bramya,b6050,bɹˈamɪə
brana,b6050,bɹˈɑːnə
branan,b60505,bɹˈɑːnən
branavan,b6050105,bɹˈanɐvˌan
branaven,b6050105,bɹˈane͡ɪvən
branavi,b605010,bɹˈanavi
branavy,b605010,bɹˈanavi
brandan,b605305,bɹˈandən
brandon,b605305,bɹˈandən
braneeth,b605030,bɹˈaniːθ
branesh,b605020,bɹˈe͡ɪnəʃ
branitha,b605030,bɹanˈɪθə
branna,b6050,bɹˈanə
brant,b6053,bɹˈant
branucika,b60502020,bɹˈanjuːsˌɪkə
branyan,b60505,bɹˈanjən
brarthana,b6063050,bɹɑːθˈɑːnə
brasanna,b602050,bɹasˈanə
brashanth,b6020530,bɹˈaʃanθ
bratati,b603030,bɹatˈɑːti
bratheep,b60301,bɹˈaθiːp
bratheepa,b603010,bɹˈaθiːpə
brathika,b603020,bɹˈaθɪkə
bratindra,b60305360,bɹatˈɪndɹə
bratish,b603020,bɹˈatɪʃ
bravasan,b6010205,bɹˈavasən
braveen,b60105,bɹˈaviːn
bravenan,b6010505,bɹˈe͡ɪvnən
bravesh,b601020,bɹˈe͡ɪvəʃ
bream,b605,bɹˈiːm
breamika,b605020,bɹˈiːmɪkə
breamini,b605050,bɹiːmˈiːnɪ
bremala,b605040,bɹɛmˈɑːlə
bremika,b605020,bɹˈɛmɪkə
brenda,b60530,bɹˈɛndə
brendan,b605305,bɹˈɛndən
brenden,b605305,bɹˈɛndən
brendon,b605305,bɹˈɛndən
brent,b6053,bɹˈɛnt
brenthan,b605305,bɹˈɛnθən
breonna,b6050,bɹɪˈɒnə
bret,b603,bɹˈɛt
brett,b603,bɹˈɛt
breyanthi,b60530,bɹe͡ɪˈanθɪ
brhadsphalas,b603210402,bˈiːɹadsfˈɑːləz
brian,b605,bɹˈa͡ɪən
briana,b6050,bɹiˈɑːnə
brianna,b6050,bɹɪˈanə
brice,b6020,bɹˈa͡ɪs
bridget,b603203,bɹˈɪd͡ʒɪt
brigham,b60205,bɹˈɪɡəm
brigid,b60203,bɹˈɪd͡ʒɪd
brihadeesh,b603020,bɹˈɪhɐdˌiːʃ
brihaspathi,b6021030,bɹˌɪhaspˈaθɪ
brihat,b603,bɹˈɪhat
brihatbhasha,b6031020,bɹˌɪhɐtbhˈaʃə
brihatbrahma,b60316050,bɹˈɪhɐtbɹˌɑːmə
brihati,b6030,bɹɪhˈɑːti
brihatjyothi,b6032030,bɹˌɪhɐtd͡ʒɪˈɒθɪ
brihatkirti,b60320630,bɹˌɪhɐtkˈɪəti
brihatman,b603505,bɹˈɪhatmən
brihatmantra,b603505360,bɹˈɪhɐtmˌantɹə
brij,b602,bɹˈɪd͡ʒ
brija,b6020,bɹˈiːd͡ʒə
brijabala,b60201040,bɹˌɪd͡ʒɐbˈɑːlə
brijal,b60204,bɹˈɪd͡ʒə͡l
brijamohan,b6020505,bɹˈɪd͡ʒɐmˌə͡ʊhan
brijender,b60205306,bɹˈa͡ɪd͡ʒəndə
brijendra,b60205360,bɹˈa͡ɪd͡ʒəndɹə
brijesh,b602020,bɹˈa͡ɪd͡ʒəʃ
brijkishor,b6020206,bɹˈe͡ɪkɪʃə
brijmohan,b602505,bɹˈe͡ɪmə͡ʊhˌan
brijnandan,b602505305,bɹˈe͡ɪnandən
brijraaj,b602602,bɹˈe͡ɪɹɑːd͡ʒ
brijraj,b602602,bɹˈe͡ɪɹad͡ʒ
brillya,b6040,bɹˈɪlɪə
brinda,b60530,bɹˈɪndə
brindaben,b60530105,bɹˈɪnde͡ɪbən
brindan,b605305,bɹˈɪndən
brindashini,b605302050,bɹˈɪndɐʃˌa͡ɪni
brindavani,b605301050,bɹˌɪndɐvˈɑːni
brindha,b60530,bɹˈɪndə
brintha,b60530,bɹˈɪnθə
brinthan,b605305,bɹˈɪnθən
brinthavie,b6053010,bɹˈɪnθe͡ɪvi
brintheni,b6053050,bɹˈɪnθɛni
brirar,b60606,bɹˈɜːɹɑː
brishti,b602030,bɹˈɪʃti
britheesh,b603020,bɹˈɪθiːʃ
brithhi,b6030,bɹˈɪθha͡ɪ
brithi,b6030,bɹˈɪθa͡ɪ
brithiya,b6030,bɹˈɪθɪjə
briti,b6030,bɹˈiːti
britney,b60350,bɹˈɪtni
brittany,b603050,bɹˈɪtəni
briyanthi,b60530,bɹɪjˈanθɪ
brma,b650,bˈiːˌɑːɹɪmˈɑː
brock,b602,bɹˈɒk
broderick,b6030602,bɹˈə͡ʊdɹɪk
brooke,b6020,bɹˈʊk
brooshikan,b6020205,bɹˈuːʃɪkən
bruce,b6020,bɹˈuːs
bruintha,b60530,bɹuːˈɪnθə
brumathya,b605030,bɹˈuːmɐθɪə
brunda,b60530,bɹˈʌndə
brundan,b605305,bɹˈʌndən
brundha,b60530,bɹˈʌndhə
brundhan,b605305,bɹˈʌndhən
brundhana,b6053050,bɹʌndhˈɑːnə
brundhika,b6053020,bɹˈʌndhɪkə
bruno,b6050,bɹˈuːnə͡ʊ
bruntha,b60530,bɹˈʌnθə
brunthan,b605305,bɹˈʌnθən
brunthana,b6053050,bɹʌnθˈɑːnə
brunthapan,b60530105,bɹˈʌnθɐpˌan
bruntheega,b6053020,bɹˈʌnθiːɡə
bruntheeka,b6053020,bɹˈʌnθiːkə
brunthiga,b6053020,bɹˈʌnθɪɡə
brunthika,b6053020,bɹˈʌnθɪkə
brunthini,b6053050,bɹʌnθˈiːnɪ
bryant,b6053,bɹˈa͡ɪənt
bryn,b605,bɹˈɪn
bryna,b6050,bɹˈiːnə
brynaam,b60505,bɹˈa͡ɪnɑːm
bubalan,b010405,bjˈuːbɐlˌan
buck,b020,bˈʌk
bud,b030,bˈʌd
buddarapu,b0306010,bˌʌdɐɹˈɑːpuː
buddha,b030,bˈʊdə
buddhacaksus,b03020202,bˈʊdɐkˌaksəs
buddhadeb,b030301,bˈʊde͡ɪdəb
buddhadev,b030301,bˈʊde͡ɪdəv
buddhadeva,b0303010,bˈʊde͡ɪdvə
buddhamitra,b03050360,bˈʊdɐmˌɪtɹə
buddhana,b03050,bʊdˈɑːnə
buddhanandi,b03050530,bˌʊdɐnˈandi
buddhapriya,b030160,bˈʊdɐpɹˌɪjə
buddhi,b030,bˈʊda͡ɪ
buddhida,b03030,bˈʊdɪdə
buddhipriya,b030160,bˈʊdɪpɹˌɪjə
budeda,b03030,bjˈuːdɛdə
budha,b030,bˈʌdhə
budhadev,b030301,bˈʌdhe͡ɪdəv
budhasuta,b0302030,bˌʌdhɐsjˈuːtə
budhil,b0304,bˈʌdhɪl
budhipriya,b030160,bˈʌdhɪpɹˌɪjə
budhjot,b030203,bˈʌdd͡ʒɒt
budhpreet,b0301603,bˈʌdpɹiːt
budhugani,b0302050,bˌʌdhjuːɡˈɑːni
budige,b03020,bjˈuːda͡ɪd͡ʒ
budrata,b036030,bʌdɹˈɑːtə
budugu,b03020,bjˈuːduːɡˌuː
buja,b020,bjˈuːd͡ʒə
bukka,b020,bˈʌkə
bukya,b020,bˈʌkɪə
bulbul,b04104,bˈʌlbʌl
bulesh,b04020,bjˈʊlɛʃ
bulkesh,b042020,bˈʌlkɛʃ
bulle,b040,bˈʊl
bulusu,b04020,bjʊlˈuːsuː
bumiga,b05020,bjˈuːmɪɡə
bumita,b05030,bjuːmˈiːtə
bunty,b0530,bˈʌnti
bupalakrishnan,b0104026020505,bjˈuːpɐlˌakɹɪʃnən
bupposo,b01020,bʌpˈə͡ʊsə͡ʊ
burges,b06202,bˈɜːd͡ʒɪz
burgess,b06202,bˈɜːd͡ʒɛs
burhan,b0605,bˈʌrhən
burhanuddin,b06050305,bˈʌrhɐnˌʌdɪn
burnu,b0650,bˈɜːnuː
burra,b060,bˈʌɹə
burton,b06305,bˈɜːtən
burugu,b06020,bjˈʊ͡əɹuːɡˌuː
burugupalli,b060201040,bjˈʊ͡əɹuːɡjˌuːpali
busa,b020,bjˈuːsə
bushra,b02060,bˈʊʃɹə
bussa,b020,bˈʌsə
buta,b030,bjˈuːtə
buthayna,b03050,bˈʌθe͡ɪnə
buthaynah,b03050,bˈʌθe͡ɪnə
butsugen,b0320205,bˈʌtsuːd͡ʒən
butsuju,b032020,bʌtsjˈuːd͡ʒuː
buvaani,b01050,bjˈuːvɑːni
buvaanisha,b0105020,bjˌuːvɑːnˈiːʃə
buvan,b0105,bjˈuːvan
buvana,b01050,bjuːvˈɑːnə
buvanashri,b010502060,bjˈuːvɐnˌaʃɹi
buvanasri,b01050260,bjˈuːvɐnˌasɹi
buvaneshwri,b010502060,bjˈuːve͡ɪnʃɹi
buvaneswari,b010502060,bjˈuːve͡ɪnswˌe͡əɹi
buvanraj,b0105602,bjˈuːvɐnɹˌad͡ʒ
buvena,b01050,bjuːvˈiːnə
buvesha,b01020,bjuːvˈɛʃə
buwana,b050,bjuːwˈɑːnə
buwanya,b050,bjuːwˈanjə
buwanyashangari,b0502052060,bjˌuːwɐnɪˌaʃɐŋɡˈɑːɹi
buwanyashankari,b0502052060,bjˌuːwɐnɪˌaʃɐŋkˈɑːɹi
buyya,b000,bˈa͡ɪjə
bylla,b040,bˈa͡ɪlə
byraboina,b0601050,bˌa͡ɪɹɐbˈɔ͡ɪnə
byrareddy,b0606030,bˈa͡ɪɹe͡ədi
byratha,b06030,ba͡ɪɹˈaθə
byravi,b06010,bˈa͡ɪɹavi
byravy,b06010,bˈa͡ɪɹavi
byron,b0605,bˈa͡ɪɹɒn
byrusha,b06020,ba͡ɪɹˈʌʃə
bysani,b02050,ba͡ɪsˈɑːni
byvisha,b01020,ba͡ɪvˈiːʃə
caaranya,c06050,kˌɑːɹˈanjə
caarmika,c065020,kˈɑːmɪkə
caarthiga,c063020,kˈɑːθɪɡə
caarthigen,c0630205,kˈɑːθa͡ɪd͡ʒən
caarthika,c063020,kˈɑːθɪkə
caarthikayini,c06302050,kˈɑːθɪke͡ɪˈiːnɪ
caarthiken,c0630205,kˈɑːθa͡ɪkən
caarthisha,c063020,kˈɑːθˈiːʃə
cabil,c0104,kˈabɪl
cabila,c01040,kabˈɪlə
cabilan,c010405,kˈabɪlˌan
cabilana,c0104050,kˌabɪlˈɑːnə
cabilanan,c01040505,kˌabɪlˈɑːnən
cabitha,c01030,kabˈɪθə
cadman,c03505,kˈadmən
caitlin,c03405,kˈe͡ɪtlɪn
cajana,c02050,kad͡ʒˈɑːnə
cajantha,c020530,kad͡ʒˈanθə
cajanthan,c0205305,kˈad͡ʒanθən
cajavanthy,c02010530,kˈad͡ʒɑːvˌanθi
cajavathana,c020103050,kˌad͡ʒɑːvɐθˈɑːnə
cajentha,c020530,kˈe͡ɪd͡ʒənθə
cajenthan,c0205305,kˈe͡ɪd͡ʒənθən
cajenthini,c02053050,kˌe͡ɪd͡ʒənθˈiːnɪ
cakarpala,c02061040,kˌakɑːpˈɑːlə
cakrasmavara,c02602501060,kˌakɹɐzmɐvˈɑːɹə
caldwell,c04304,kˈɒldwɛl
caleb,c0401,kˈalɛb
calpana,c041050,kalpˈɑːnə
calvert,c041063,kˈalvɜːt
calvin,c04105,kˈalvɪn
calyani,c04050,kˌalɪˈɑːni
camali,c05040,kamˈɑːli
camalini,c0504050,kˌamɐlˈiːnɪ
camelia,c05040,kamˈiːli͡ə
camerina,c0506050,kˌaməɹˈiːnə
camille,c05040,kɐmˈiːl
cammy,c050,kˈami
camsha,c0520,kˈamʃə
camshitha,c052030,kamʃˈɪθə
camsika,c052020,kˈamzɪkə
camy,c050,kˈe͡ɪmi
cana,c050,kˈɑːnə
canaka,c05020,kanˈɑːkə
cananda,c050530,kanˈandə
candalaa,c053040,kˈandɐlˌɑː
candavira,c05301060,kˌandɐvˈi͡əɹə
candragarbha,c0536020610,kˈandɹɐɡˌɑːbhə
candrakirti,c0536020630,kˌandɹɐkˈɪəti
candrasurya,c053602060,kˈandɹɐsˌɜːɹɪə
candrii,c05360,kˈandɹɪˌa͡ɪ
caneela,c05040,kˈaniːlə
canga,c0520,kˈaŋɡə
canisa,c05020,kˈanɪsə
canisha,c05020,kanˈiːʃə
canishka,c0502020,kanˈiːʃkə
canjana,c052050,kand͡ʒˈɑːnə
canna,c050,kˈanə
canny,c050,kˈani
canoba,c05010,kanˈə͡ʊbə
canooba,c05010,kanˈuːbə
canooban,c050105,kˈanuːbən
canoobha,c05010,kˈanuːbhə
canoobhan,c050105,kˈanuːbhən
canshika,c052020,kˈanʃɪkə
cansica,c052020,kˈansɪkə
capilan,c010405,kˈapɪlˌan
carina,c06050,kaɹˈiːnə
carishanan,c06020505,kˌaɹɪʃˈɑːnən
carishna,c0602050,kaɹˈiːʃnə
carishnen,c06020505,kˈaɹɪʃnən
carisma,c060250,kˈaɹɪsmə
carissa,c06020,kəɹˈɪsə
caritha,c06030,kaɹˈɪθə
carl,c064,kˈɑːl
carla,c0640,kˈɑːlə
carlton,c064305,kˈɑːltən
carly,c0640,kˈɑːli
carmen,c06505,kˈɑːmɛn
carney,c0650,kˈɑːni
carol,c0604,kˈaɹə͡l
caroline,c0604050,kˈaɹəlˌa͡ɪn
carrick,c0602,kˈaɹɪk
carrie,c060,kˈaɹi
carroll,c0604,kˈaɹə͡ʊl
carsha,c0620,kˈɑːʃə
carshan,c06205,kˈɑːʃən
carter,c06306,kˈɑːtə
carthiga,c063020,kˈɑːθɪɡə
carthigan,c0630205,kˈɑːθɪɡən
carthigen,c0630205,kˈɑːθa͡ɪd͡ʒən
carthigeyan,c0630205,kˈɑːθa͡ɪd͡ʒjən
carthika,c063020,kˈɑːθɪkə
carthiken,c0630205,kˈɑːθa͡ɪkən
carthiyani,c063050,kˌɑːθɪjˈɑːni
caruna,c06050,kɑːɹˈuːnə
carunya,c06050,kɑːɹˈʌnjə
carver,c06106,kˈɑːvə
cary,c060,kˈe͡əɹi
casey,c020,kˈe͡ɪsi
casia,c020,kˈazi͡ə
caspar,c02106,kˈaspɑː
casper,c02106,kˈaspə
cassandan,c0205305,kˈasandən
casthuri,c023060,kˈasθjʊ͡əɹi
catherine,c0306050,kˈaθɹɪn
cauvery,c01060,kˈə͡ʊvəɹi
cavery,c01060,kˈe͡ɪvəɹi
cavin,c0105,kˈavɪn
cavini,c01050,kavˈiːnɪ
caviya,c010,kˈavɪjə
cayanthan,c05305,kˈe͡ɪanθən
cayanthen,c05305,kˈe͡ɪanðən
cayenthan,c05305,kˈe͡ɪɛnθən
cecil,c0204,sˈɛsə͡l
cedric,c03602,sˈɛdɹɪk
ceena,c050,sˈiːnə
ceetha,c030,sˈiːθə
celina,c04050,sɛlˈiːnə
cendamari,c05305060,sˈɛndɐməɹi
centhoori,c053060,sˈɛnθɔːɹi
ceyone,c050,sˈe͡ɪə͡ʊn
chaadhurya,c03060,t͡ʃˈɑːdhjʊɹɪə
chaagithyan,c020305,t͡ʃˈɑːd͡ʒɪθɪən
chaah,c000,t͡ʃˈɑː
chaahana,c050,t͡ʃɑːhˈɑːnə
chaamunda,c050530,t͡ʃˈɑːmʌndə
chaanakya,c05020,t͡ʃˈɑːnɐkɪə
chaand,c053,t͡ʃˈɑːnd
chaandan,c05305,t͡ʃˈɑːndən
chaanderkant,c053062053,t͡ʃˈɑːndəkənt
chaaran,c0605,t͡ʃˈɑːɹən
chaarani,c06050,t͡ʃˈɑːɹˈɑːni
chaaranmathy,c0605030,t͡ʃˌɑːɹˈanməθi
chaaru,c060,t͡ʃˈɑːɹuː
chaaruchandra,c060205360,t͡ʃˈɑːɹət͡ʃˌʌndɹə
chaaruchithra,c060203060,t͡ʃˈɑːɹət͡ʃˌɪθɹə
chaarudatt,c060303,t͡ʃˈɑːɹuːdˌat
chaaruhaas,c0602,t͡ʃˈɑːɹuːhˌɑːz
chaaruvi,c06010,t͡ʃˈɑːɹuːvi
chaarvi,c0610,t͡ʃˈɑːvi
chaaya,c000,t͡ʃˈɑːjə
chaayaadaevi,c03010,t͡ʃˈɑːjɑːdˌiːvi
chaayan,c050,t͡ʃˈɑːjən
chaayavati,c01030,t͡ʃˌɑːjɐvˈɑːti
chad,c030,t͡ʃˈad
chada,c030,t͡ʃˈɑːdə
chadaiyan,c0305,t͡ʃˈade͡ɪjən
chadala,c03040,t͡ʃadˈɑːlə
chadalavada,c030401030,t͡ʃˌadɐlɐvˈɑːdə
chadalwada,c0304030,t͡ʃˌadɐlwˈɑːdə
chadna,c0350,t͡ʃˈadnə
chadranthan,c03605305,t͡ʃˈadɹanθən
chaduvu,c03010,t͡ʃˈaduːvˌuː
chadwick,c0302,t͡ʃˈadwɪk
chaeralathan,c06040305,kˈe͡əɹɐləθən
chagam,c0205,t͡ʃˈaɡam
chageedan,c020305,t͡ʃˈad͡ʒiːdən
chahan,c050,t͡ʃˈahan
chahana,c050,t͡ʃahˈɑːnə
chahat,c030,t͡ʃˈahat
chahel,c040,t͡ʃˈahə͡l
chaheti,c030,t͡ʃahˈɛti
chahita,c030,t͡ʃahˈiːtə
chahna,c050,t͡ʃˈɑːnə
chaidya,c030,t͡ʃˈe͡ɪdɪə
chain,c050,t͡ʃˈe͡ɪn
chaina,c050,t͡ʃˈe͡ɪnə
chainapuram,c05010605,t͡ʃˈe͡ɪnɐpˌʊ͡əɹəm
chainika,c05020,t͡ʃˈe͡ɪnɪkə
chairavali,c0601040,t͡ʃˌe͡əɹɐvˈɑːli
chaisaran,c020605,t͡ʃˈe͡ɪsaɹən
chaitaalee,c03040,t͡ʃˈe͡ɪtɑːlˌiː
chaital,c0304,t͡ʃˈe͡ɪtə͡l
chaitali,c03040,t͡ʃe͡ɪtˈɑːli
chaitaly,c03040,t͡ʃˈe͡ɪtəli
chaitan,c0305,t͡ʃˈe͡ɪtən
chaitana,c03050,t͡ʃe͡ɪtˈɑːnə
chaitanya,c03050,t͡ʃe͡ɪtˈanjə
chaithana,c03050,t͡ʃe͡ɪθˈɑːnə
chaithani,c03050,t͡ʃe͡ɪθˈɑːni
chaithanya,c03050,t͡ʃe͡ɪθˈanjə
chaithra,c03060,t͡ʃˈe͡ɪθɹə
chaithrashree,c030602060,t͡ʃˈe͡ɪθɹɐʃɹˌiː
chaitna,c0350,t͡ʃˈe͡ɪtnə
chaitnya,c0350,t͡ʃˈe͡ɪtnjə
chaitra,c0360,t͡ʃˈe͡ɪtɹə
chaitravi,c036010,t͡ʃˈe͡ɪtɹavi
chaitreyesh,c036020,t͡ʃˈe͡ɪtɹe͡ɪʃ
chaitri,c0360,t͡ʃˈe͡ɪtɹi
chaitrika,c036020,t͡ʃˈe͡ɪtɹɪkə
chaitya,c030,t͡ʃˈe͡ɪtɪə
chajan,c0205,t͡ʃˈad͡ʒən
chajvini,c021050,t͡ʃad͡ʒvˈiːnɪ
chak,c020,t͡ʃˈak
chaka,c020,t͡ʃˈɑːkə
chakali,c02040,t͡ʃakˈɑːli
chakaravarthy,c0206010630,t͡ʃˈakɐɹˌavɑːði
chakesh,c02020,t͡ʃˈe͡ɪkəʃ
chakithya,c02030,t͡ʃˈakɪθɪə
chakithyan,c020305,t͡ʃˈakɪθɪən
chakka,c020,t͡ʃˈakə
chakkabandi,c02010530,t͡ʃˌakɐbˈandi
chakor,c0206,t͡ʃˈakə
chakori,c02060,t͡ʃakˈɔːɹi
chakra,c0260,t͡ʃˈakɹə
chakradev,c0260301,t͡ʃˈakɹe͡ɪdəv
chakradhar,c0260306,t͡ʃˈakɹɐdhˌɑː
chakradharini,c0260306050,t͡ʃˌakɹɐdhɑːɹˈiːnɪ
chakradhwaj,c0260302,t͡ʃˈakɹɐdwˌad͡ʒ
chakranhi,c026050,t͡ʃakɹˈanhɪ
chakrapaani,c02601050,t͡ʃˈakɹɐpˌɑːni
chakrapani,c02601050,t͡ʃˌakɹɐpˈɑːni
chakravartee,c026010630,t͡ʃˈakɹɐvˌɑːtiː
chakravarthi,c026010630,t͡ʃˌakɹɐvˈɑːθɪ
chakravarthy,c026010630,t͡ʃˈakɹɐvˌɑːði
chakravarti,c026010630,t͡ʃˈakɹɐvˌɑːti
chakresh,c026020,t͡ʃˈakɹɛʃ
chakria,c0260,t͡ʃˈakɹiə
chakrik,c02602,t͡ʃˈakɹɪk
chakrika,c026020,t͡ʃˈakɹɪkə
chakrikaa,c026020,t͡ʃˈakɹɪkˌɑː
chakrin,c02605,t͡ʃˈakɹɪn
chakshani,c02050,t͡ʃakʃˈɑːni
chakshas,c0202,t͡ʃˈakʃəz
chakshita,c02030,t͡ʃakʃˈiːtə
chakshu,c020,t͡ʃˈakʃuː
chalam,c0405,t͡ʃˈalam
chalama,c04050,t͡ʃalˈɑːmə
chalamchyala,c04052040,t͡ʃˌalɐmt͡ʃɪˈɑːlə
chalapati,c0401030,t͡ʃˌalɐpˈɑːti
chalavadhi,c0401030,t͡ʃˌalɐvˈadhɪ
chaliki,c04020,t͡ʃˈalɪki
chalipa,c04010,t͡ʃˈalɪpə
challa,c040,t͡ʃˈalə
challagulla,c0402040,t͡ʃˈalɐɡˌʌlə
challakolusu,c040204020,t͡ʃˌalɐkˈə͡ʊlˈuːsuː
chalmers,c045062,t͡ʃˈalməz
chalsia,c0420,t͡ʃˈalsi͡ə
chaluvadi,c0401030,t͡ʃˌaluːvˈadi
chamakura,c0502060,t͡ʃˌamɐkjˈʊ͡əɹə
chamakuri,c0502060,t͡ʃˈamɐkjˌʊ͡əɹi
chamala,c05040,t͡ʃamˈɑːlə
chaman,c0505,t͡ʃˈamən
chamanlal,c0505404,t͡ʃˈamanlə͡l
chamarthi,c050630,t͡ʃamˈɑːθɪ
chamarthy,c050630,t͡ʃˈamɑːði
chambal,c05104,t͡ʃˈe͡ɪmbə͡l
chameli,c05040,t͡ʃˈe͡ɪmli
chamelia,c05040,t͡ʃe͡ɪmˈiːli͡ə
chamika,c05020,t͡ʃˈamɪkə
chamini,c05050,t͡ʃamˈiːnɪ
chamiraju,c0506020,t͡ʃˌaməɹˈɑːd͡ʒuː
chamithri,c0503060,t͡ʃˈamɪθɹi
chamkaur,c05206,t͡ʃˈamkɔː
champa,c0510,t͡ʃˈampə
champabati,c05101030,t͡ʃˌampɐbˈɑːti
champak,c05102,t͡ʃˈampak
champakali,c05102040,t͡ʃˌampɐkˈɑːli
champakavathi,c0510201030,t͡ʃˌampɐkɐvˈaθɪ
champakmala,c051025040,t͡ʃˌampɐkmˈɑːlə
champamalini,c0510504050,t͡ʃˌampɐmɐlˈiːnɪ
champavati,c05101030,t͡ʃˌampɐvˈɑːti
champika,c051020,t͡ʃˈampɪkə
chamunda,c050530,t͡ʃˈamʌndə
chamundi,c050530,t͡ʃamˈʌndi
chanak,c0502,t͡ʃˈanak
chanakshi,c05020,t͡ʃˈanakʃi
chanakya,c05020,t͡ʃˈanɐkɪə
chanakyan,c050205,t͡ʃˈanɐkɪən
chanambam,c0505105,t͡ʃˈanɐmbˌam
chanasya,c05020,t͡ʃˈanɐsɪə
chanasyaa,c05020,t͡ʃˈanɐsɪˌɑː
chanchal,c05204,t͡ʃˈant͡ʃə͡l
chanchala,c052040,t͡ʃant͡ʃˈɑːlə
chanchaladwala,c0520403040,t͡ʃˌant͡ʃɐlɐdwˈɑːlə
chanchareek,c0520602,t͡ʃˈant͡ʃɐɹˌiːk
chanchari,c052060,t͡ʃant͡ʃˈɑːɹi
chancharik,c0520602,t͡ʃˈant͡ʃɑːɹˌɪk
